Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1993;532;183;27;742;1064;795;225;2084;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;3511.241379;0;0;0;;3.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1994;1658;0;10;1668;1608;0;82;1690;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1995;632;347;8;987;1014;1344;62;2420;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1996;478;103;8;589;904;451;69;1424;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1997;743;125;18;886;1368;524;151;2043;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1998;2365;294;25;2684;4178;1276;216;5670;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;4.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;1999;834;190;15;1039;1435;887;152;2474;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;6.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;2000;1211;267;23;1501;2304;1130;185;3619;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;9.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;2001;3031;370;28;3429;5735;1457;218;7410;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200021;021.Z;Otra;Torridalselva;Vest-Agder;Kristiansand;2002;1844;384;32;2260;3390;1690;269;5349;0.4;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;2341;1755.62069;2926.37931;0;0;0;;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
