"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1993;54;64;48;166;97;304;412;813;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1994;232;38;61;331;452;181;557;1190;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1995;172;50;27;249;290;262;232;784;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1996;65;13;38;116;118;61;318;497;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1997;52;37;17;106;99;183;152;434;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1998;68;27;15;110;115;134;124;373;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;12.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";1999;118;41;13;172;234;208;111;553;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;22.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";2000;136;126;38;300;257;689;345;1291;0.2;0.7;0.55;0.318;0.424;0.53;0.222;0.296;0.37;0.252;0.336;0.42;435;326.25;543.75;NA;NA;NA;NA;9.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";2001;195;148;62;405;426;894;636;1956;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;11.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200086;"086.Z";"Åelva_og_Ommedalselva";"Gjengedalsvassdraget";"SF";"Gloppen";2002;65;50;21;136;112;258;196;566;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;435;326.25;543.75;NA;NA;NA;NA;8.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
