Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1993;490;150;0;640;636;600;0;1236;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1994;0;0;0;0;2741;306;162;3209;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1995;459;62;4;525;777;330;32;1139;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1996;74;40;3;117;112;151;23;286;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;8.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1997;50;15;0;65;76;58;0;134;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;9.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1998;82;19;1;102;114;89;12;215;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;8.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;1999;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;2000;978;189;0;1167;1700;821;0;2521;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;2001;506;191;16;713;888;820;123;1832;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;15.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200095;095.Z;Ørstaelva;Storelva;MR;Orsta;2002;211;70;16;297;386;282;120;788;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1352.827586;1014.62069;1691.034483;;;;;8.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
