Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Straumenvassdraget;166.4Z;1993;0.56;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1994;0.56;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1995;0.56;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1996;0.56;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1997;0.56;NA;0.41;NA;NA;FALSE;62;159;211;33;34;21;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1998;0.56;NA;0.41;NA;NA;FALSE;58;34;16;34;9;1;0;0;0;0;0;0
Straumenvassdraget;166.4Z;1999;0.56;NA;0.41;NA;NA;FALSE;93;76;0;44;18;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2000;0.56;NA;0.41;NA;NA;FALSE;55;58;44;25;13;5;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2001;0.56;NA;NA;100;NA;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2002;0.56;NA;0.41;NA;NA;FALSE;111;72;75;72;20;8;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2003;0.56;NA;0.41;NA;NA;FALSE;221;195;91;133;46;11;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2004;0.56;NA;0.41;NA;NA;FALSE;68;146;52;34;29;6;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2005;0.56;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2006;0.56;NA;0.41;NA;NA;FALSE;236;151;140;134;30;16;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2007;0.56;NA;0.41;NA;NA;FALSE;214;231;131;139;43;15;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2008;0.56;NA;0.41;NA;NA;FALSE;187;325;210;102;69;25;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2009;0.56;NA;0.41;NA;NA;FALSE;68;100;51;40;20;6;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2010;0.56;NA;0.41;NA;NA;FALSE;125;212;43;59;50;5;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2011;0.56;NA;0.41;NA;NA;FALSE;56;172;153;31;40;18;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2012;0.56;NA;0.41;NA;NA;FALSE;122;165;41;67;40;4;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2013;0.56;NA;0.41;NA;NA;FALSE;73;180;83;43;38;9;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2014;0.56;NA;0.41;NA;NA;FALSE;211;139;0;121;33;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2015;0.56;NA;0.2;NA;NA;FALSE;8;15;8;5;3;1;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2016;0.56;NA;0.41;NA;NA;FALSE;70;93;0;47;21;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2017;0.56;NA;0.41;NA;NA;FALSE;51;96;15;34;20;2;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2018;0.56;NA;0.41;NA;NA;FALSE;118;161;29;63;41;3;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2019;0.56;NA;0.41;NA;NA;FALSE;216;170;8;121;40;1;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2020;0.56;NA;0.41;NA;NA;FALSE;51.6;71.3;9;27;17;1;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2021;0.56;NA;0.41;NA;NA;FALSE;53;43;21;36;12;3;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2022;0.56;NA;0.41;NA;NA;FALSE;65;87;0;37;20;0;0;0;0;0;0;0
Straumenvassdraget;166.4Z;2023;0.56;NA;0.41;NA;NA;FALSE;41;58;0;25;15;0;0;0;0;0;0;0
