Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1993;78;5;2;85;127;23;18;168;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1994;28;4;1;33;44;16;8;68;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1995;67;1;1;69;113;5;8;126;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1996;82;7;0;89;129;32;0;161;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1997;69;4;1;74;121;15;8;144;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1998;154;8;0;162;262;37;0;299;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;1999;73;12;0;85;133;58;0;191;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;2000;92;15;4;111;167;76;35;278;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;1.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;2001;63;12;10;85;106;54;98;258;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;0.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202276;227.6Z;Veidneselva;Veineselva;Finnmark;Lebesby;2002;42;7;0;49;79;28;0;107;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;362.0482759;181.0241379;543.0724138;0;0;0;;2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
