Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lakselv i Kviby;213.1Z;1993;0.56;NA;0.49;NA;NA;FALSE;70;14;7;41;4;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1994;0.56;NA;0.49;NA;NA;FALSE;23;7;0;13;1;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1995;0.56;NA;0.49;NA;NA;FALSE;73;8;14;44;2;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1996;0.56;NA;0.49;NA;NA;FALSE;112;9;0;66;2;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1997;0.56;NA;0.49;NA;NA;FALSE;92;7;9;59;2;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1998;0.56;NA;0.49;NA;NA;FALSE;58;11;0;36;2;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;1999;0.56;NA;0.3;NA;NA;FALSE;7;5;0;4;1;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2000;0.56;NA;0.3;NA;NA;FALSE;6;0;0;4;0;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2001;0.56;NA;0.49;NA;NA;FALSE;29;7;9;18;1;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2002;0.56;NA;0.49;NA;NA;FALSE;58;30;15;32;5;2;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2003;0.56;NA;0.49;NA;NA;FALSE;103;0;8;45;0;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2004;0.56;NA;0.49;NA;NA;FALSE;10;0;9;6;0;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2005;0.56;1.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2006;0.56;1.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2007;0.56;NA;0.49;NA;NA;FALSE;93;0;26;56;0;3;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2008;0.56;NA;0.49;NA;NA;FALSE;46;17;40;28;5;4;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2009;0.56;NA;0.49;NA;NA;FALSE;58;0;17;42;0;2;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2010;0.56;1.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2011;0.56;1.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2012;0.56;NA;0.49;NA;NA;FALSE;38;13;17;33;3;2;3;16;28;2;4;3
Lakselv i Kviby;213.1Z;2013;0.56;NA;0.49;NA;NA;FALSE;123;21;17;92;4;2;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2014;0.56;NA;0.49;NA;NA;FALSE;155;26;9;90;6;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2015;0.56;NA;0.49;NA;NA;FALSE;223;28;0;153;6;0;4;0;0;3;0;0
Lakselv i Kviby;213.1Z;2016;0.56;NA;0.49;NA;NA;FALSE;64;21;15;44;6;2;9;0;0;5;0;0
Lakselv i Kviby;213.1Z;2017;0.56;NA;0.49;NA;NA;FALSE;201;22;31;120;4;4;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2018;0.56;NA;0.49;NA;NA;FALSE;107;36;7;77;9;1;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2019;0.56;NA;0.49;NA;NA;FALSE;52;28;0;30;6;0;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2020;0.56;NA;0.49;NA;NA;FALSE;117.9;33.3;37;81;7;5;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2021;0.56;NA;0.49;NA;NA;FALSE;48;21;17;34;5;2;0;0;0;0;0;0
Lakselv i Kviby;213.1Z;2022;0.56;NA;0.49;NA;NA;FALSE;179;42;15;108;11;2;5;4;8;3;1;1
Lakselv i Kviby;213.1Z;2023;0.56;1.15;NA;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
