Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1993;247;78;83;408;405;388;762;1555;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;1144.572414;0;0;0;NA;12.86;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1994;417;98;95;610;802;460;890;2152;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;12.86;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1995;285;152;67;504;476;783;560;1819;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;12.86;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1996;228;98;53;379;372;442;420;1234;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;12.86;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1997;197;75;55;327;349;341;533;1223;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;12.86;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1998;212;110;24;346;337;509;208;1054;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;15.02;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;1999;254;33;11;298;439;158;88;685;0.2;0.7;0.55;0.336;0.448;0.56;0.12;0.16;0.2;0.438;0.584;0.73;763.0482759;572.2862069;953.8103449;0;0;0;NA;12.2;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2000;377;224;44;645;740;1091;363;2194;0.2;0.7;0.55;0.312;0.416;0.52;0.216;0.288;0.36;0.282;0.376;0.47;763.0482759;572.2862069;953.8103449;0;0;0;NA;10.9;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2001;524;236;71;831;1016;1155;591;2762;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;13.3;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2002;216;115;68;399;375;608;599;1582;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;6.9;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2003;350;82;64;496;620;368;608;1596;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;5.7;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2004;292;96;41;429;515;453;361;1329;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;3.7;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2005;330;221;40;591;612;1030;351;1993;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;2.8;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2006;236;359;61;656;384;1816;578;2778;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;7.5;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2007;65;126;72;263;115;603;615;1333;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;7.7;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2008;107;118;60;285;187;569;562;1318;0.2;0.7;0.55;0.348;0.464;0.58;0.282;0.376;0.47;0.282;0.376;0.47;763.0482759;572.2862069;953.8103449;0;0;0;NA;7.14;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2009;134;118;78;330;258.6;519.6;671.9;1450.1;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;3.3;NA;0;0;0;0;0;0;0;0;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2010;241;190;73;504;433.7;885.5;621.2;1940.4;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;3.3;NA;7;4;2;13;13;17;18;48;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2011;182;336;74;592;359;1589.6;611;2559.6;0.2;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;763.0482759;572.2862069;953.8103449;0;0;0;NA;4.67;NA;23;31;11;65;43;151;87;281;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2012;201;262;163;626;418.67;1233.4;1449.6;3101.67;0.2;0.7;0.55;0.594423321;0.626168224;0.676767677;0.411764706;0.444444444;0.5;0.603384453;0.634858812;0.68487395;763.0482759;572.2862069;953.8103449;0;0;0;NA;3.022670025;NA;7;19;14;40;11;95;126;232;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2013;107;133;91;331;206.2;671.3;795.7;1673.2;0.2;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;763.0482759;572.2862069;953.8103449;0;0;0;NA;3.6;NA;11;8;6;25;19;43;50;112;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200089;089.Z;Eidselva;Hornindalsvassdraget;SF;Eid;2014;72;31;35;138;114.8;141;314.7;570.5;0.2;0.7;0.55;0.27184466;0.299065421;0.324324324;0.089410795;0.100895037;0.11209321;0.398373984;0.430769231;0.459854015;763.0482759;572.2862069;953.8103449;0;0;0;101;4;1;14;9;1;24;23;34;8;65;0.2;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
