Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1993;86;39;0;125;152;169;0;321;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;306.3931034;0;0;0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1994;43;16;3;62;66;69;25;160;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1995;45;10;0;55;70;44;0;114;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1996;14;7;1;22;20;28;8;56;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1997;14;0;0;14;23;0;0;23;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1998;170;34;0;204;280;128;0;408;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;1999;116;18;1;135;211;76;7;294;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;2000;131;42;0;173;175;151;0;326;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;2001;81;33;4;118;133;141;31;305;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;2002;54;15;1;70;65;66;7;138;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;1.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202318;231.8Z;Risfjordvassdraget;x;Finnmark;Gamvik;2003;82;19;2;103;139;79;18;236;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;204.262069;153.1965517;255.3275863;0;0;0;;1.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
