Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Futelva (Gamvik);231.64Z;1993;0.54;NA;0.3;NA;NA;FALSE;9;3;0;7;1;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1994;0.54;NA;0.3;NA;NA;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1995;0.54;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1996;0.54;NA;0.3;NA;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1997;0.54;NA;0.3;NA;NA;FALSE;10;0;0;6;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1998;0.54;NA;0.3;NA;NA;FALSE;35;0;0;27;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;1999;0.54;NA;0.3;NA;NA;FALSE;31;0;0;22;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2000;0.54;NA;0.3;NA;NA;FALSE;23;14;0;14;4;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2001;0.54;NA;0.3;NA;NA;FALSE;55;6;0;35;2;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2002;0.54;NA;0.3;NA;NA;FALSE;18;0;0;12;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2003;0.54;NA;0.3;NA;NA;FALSE;12;4;0;7;1;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2004;0.54;NA;0.3;NA;NA;FALSE;23;10;0;14;3;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2005;0.54;NA;0.3;NA;NA;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2006;0.54;NA;0.3;NA;NA;FALSE;40;27;0;23;7;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2007;0.54;NA;0.3;NA;NA;FALSE;9;7;0;6;2;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2008;0.54;NA;0.3;NA;NA;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2009;0.54;NA;0.3;NA;NA;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2010;0.54;NA;0.3;NA;NA;FALSE;19;0;0;10;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2011;0.54;NA;0.3;NA;NA;FALSE;30;6;0;20;2;0;3;0;0;2;0;0
Futelva (Gamvik);231.64Z;2012;0.54;NA;0.3;NA;NA;FALSE;9;0;0;5;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2013;0.54;NA;0.3;NA;NA;FALSE;7;6;0;6;1;0;1;4;0;1;1;0
Futelva (Gamvik);231.64Z;2014;0.54;NA;0.3;NA;NA;FALSE;10;0;0;5;0;0;2;0;0;1;0;0
Futelva (Gamvik);231.64Z;2015;0.54;NA;0.3;NA;NA;FALSE;4;3;0;3;1;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2016;0.54;NA;0.3;NA;NA;FALSE;4;3;0;2;1;0;0;4;0;0;1;0
Futelva (Gamvik);231.64Z;2017;0.54;NA;0.3;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2018;0.54;NA;0.3;NA;NA;FALSE;9;0;0;5;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2019;0.54;NA;0.3;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2020;0.54;NA;0.3;NA;NA;FALSE;6.2;0;0;5;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2021;0.54;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2022;0.54;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Futelva (Gamvik);231.64Z;2023;0.54;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
