"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1993;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;352.4896552;0;0;0;NA;0.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1994;59;2;0;61;89;11;0;100;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;0.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1995;65;28;7;100;84;126;61;271;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;0.63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1996;10;2;1;13;12;11;8;31;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1997;39;2;0;41;51;9;0;60;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1998;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;1.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";1999;90;3;1;94;148;17;10;175;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;1.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";2000;96;5;0;101;158;20;0;178;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;0.78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";2001;151;34;2;187;263;119;16;399;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;0.74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
216041;"160.41Z";"Spildervassdraget";"x";"Nordland";"Mel?";2002;231;4;1;236;316;18;8;341;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;234.9931034;176.2448276;293.7413792;0;0;0;NA;0.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
