Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200971;097.1Z;Bondalselva;x;MR;?rsta;1993;220;150;10;380;400;592;84;1076;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1994;0;0;0;0;1663;189;100;1952;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1995;882;131;4;1017;1490;696;31;2217;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1996;200;14;10;224;303;54;78;435;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1997;58;41;4;103;87;160;28;275;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;582.4275862;436.8206897;728.0344828;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1998;266;24;6;296;426;106;47;579;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;582.4275862;436.8206897;728.0344828;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;1999;260;37;1;298;477;184;7;668;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;2000;755;190;7;952;1410;760;90;2260;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;582.4275862;436.8206897;728.0344828;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;2001;487;336;180;1003;947;1680;1260;3887;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;582.4275862;436.8206897;728.0344828;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;2002;87;145;13;245;179;844;104;1127;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;8.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200971;097.1Z;Bondalselva;x;MR;?rsta;2003;752;162;7;921;1128;650;80;1858;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;582.4275862;436.8206897;728.0344828;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
