Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1993;187;54;51;292;369;294;475;1138;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1994;128;40;28;196;265;165;269;699;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1995;116;62;64;242;231;302;673;1206;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1996;354;64;16;434;630;274;160;1064;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1997;332;83;26;441;629;380;219;1228;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1998;424;66;21;511;759;325;187;1271;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;1999;221;71;15;307;448;383;143;974;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;2000;302;112;56;470;582;635;496;1713;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;2001;197;69;90;356;328;405;748;1481;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200240;240.Z;Vestre_Jakobselv;x;Finnmark;Vadsø;2002;324;139;66;529;617;678;631;1926;0.3;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;1919.034483;959.5172414;2878.551724;0;0;0;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
